-41.395408630371094,145650000
-40.902626037597656,145650625
-41.145217895507813,145651250
-40.314804077148438,145651875
-39.626220703125,145652500
-40.653007507324219,145653125
-40.539398193359375,145653750
-39.987167358398438,145654375
-40.04412841796875,145655000
-40.937705993652344,145655625
-41.521835327148438,145656250
-41.16796875,145656875
-40.528022766113281,145657500
-41.332328796386719,145658125
-39.465835571289063,145658750
-39.419815063476562,145659375
-40.904594421386719,145660000
-41.264511108398438,145660625
-40.594947814941406,145661250
-40.301689147949219,145661875
-39.899383544921875,145662500
-40.143119812011719,145663125
-40.639602661132812,145663750
-39.833229064941406,145664375
-38.666168212890625,145665000
-38.298843383789063,145665625
-38.395774841308594,145666250
-38.497932434082031,145666875
-38.195152282714844,145667500
-39.067474365234375,145668125
-39.658859252929688,145668750
-39.401420593261719,145669375
-38.545135498046875,145670000
-38.429214477539062,145670625
-39.670669555664062,145671250
-39.669021606445313,145671875
-37.877738952636719,145672500
-38.068283081054688,145673125
-37.832977294921875,145673750
-38.472679138183594,145674375
-38.413345336914063,145675000
-38.224807739257813,145675625
-37.634819030761719,145676250
-37.960403442382813,145676875
-38.665817260742188,145677500
-38.044212341308594,145678125
-38.503372192382812,145678750
-38.609504699707031,145679375
-37.86956787109375,145680000
-37.376106262207031,145680625
-37.482444763183594,145681250
-37.420974731445313,145681875
-37.239181518554687,145682500
-37.396400451660156,145683125
-38.435966491699219,145683750
-39.31170654296875,145684375
-38.156570434570313,145685000
-38.0936279296875,145685625
-37.680404663085937,145686250
-38.969245910644531,145686875
-38.231201171875,145687500
-38.022659301757813,145688125
-38.770423889160156,145688750
-37.786453247070313,145689375
-37.702690124511719,145690000
-38.120956420898437,145690625
-38.261123657226563,145691250
-37.406394958496094,145691875
-37.222129821777344,145692500
-38.209716796875,145693125
-37.635665893554687,145693750
-37.816780090332031,145694375
-37.282180786132813,145695000
-38.115707397460938,145695625
-37.857582092285156,145696250
-38.483024597167969,145696875
-37.446884155273437,145697500
-37.281791687011719,145698125
-37.702194213867188,145698750
-37.797286987304688,145699375
-35.887664794921875,145700000
-34.907012939453125,145700625
-36.160537719726563,145701250
-36.89593505859375,145701875
-37.398078918457031,145702500
-37.499404907226563,145703125
-36.62890625,145703750
-35.468147277832031,145704375
-35.641166687011719,145705000
-37.064651489257812,145705625
-37.203208923339844,145706250
-36.638954162597656,145706875
-36.388618469238281,145707500
-36.604598999023437,145708125
-35.917922973632812,145708750
-36.121734619140625,145709375
-35.676094055175781,145710000
-35.334114074707031,145710625
-35.436676025390625,145711250
-36.641036987304687,145711875
-36.612602233886719,145712500
-36.330856323242187,145713125
-36.494895935058594,145713750
-37.294456481933594,145714375
-37.602958679199219,145715000
-36.872299194335937,145715625
-36.664443969726562,145716250
-37.019607543945313,145716875
-36.020111083984375,145717500
-36.183097839355469,145718125
-36.877677917480469,145718750
-37.294235229492188,145719375
-35.529296875,145720000
-34.130416870117188,145720625
-34.3885498046875,145721250
-35.416572570800781,145721875
-35.626083374023437,145722500
-33.635414123535156,145723125
-33.634685516357422,145723750
-35.531517028808594,145724375
-35.369880676269531,145725000
-34.703346252441406,145725625
-33.495918273925781,145726250
-33.371360778808594,145726875
-35.662918090820313,145727500
-35.366790771484375,145728125
-35.058761596679688,145728750
-35.844589233398438,145729375
-35.459304809570313,145730000
-36.279403686523438,145730625
-35.627517700195312,145731250
-35.49432373046875,145731875
-34.73828125,145732500
-34.376068115234375,145733125
-34.531509399414063,145733750
-34.837081909179688,145734375
-35.08251953125,145735000
-34.173774719238281,145735625
-34.840995788574219,145736250
-33.7327995300293,145736875
-33.175483703613281,145737500
-34.769020080566406,145738125
-34.695442199707031,145738750
-35.103378295898437,145739375
-34.613662719726562,145740000
-34.505287170410156,145740625
-35.211715698242187,145741250
-33.803192138671875,145741875
-33.744663238525391,145742500
-32.344989776611328,145743125
-32.4402961730957,145743750
-34.502334594726563,145744375
-32.348217010498047,145745000
-32.459926605224609,145745625
-33.298091888427734,145746250
-33.553298950195313,145746875
-34.387596130371094,145747500
-31.830959320068359,145748125
-32.202224731445313,145748750
-35.789680480957031,145749375
-33.124176025390625,145750000
-33.3675422668457,145750625
-34.474861145019531,145751250
-35.359542846679688,145751875
-33.155204772949219,145752500
-33.687210083007813,145753125
-32.358192443847656,145753750
-30.910488128662109,145754375
-31.140895843505859,145755000
-32.465583801269531,145755625
-34.383308410644531,145756250
-35.366493225097656,145756875
-34.867218017578125,145757500
-32.735748291015625,145758125
-34.982826232910156,145758750
-35.9434814453125,145759375
-35.117202758789063,145760000
-33.976837158203125,145760625
-33.021854400634766,145761250
-32.977619171142578,145761875
-32.410789489746094,145762500
-32.418865203857422,145763125
-31.416244506835938,145763750
-31.231197357177734,145764375
-32.365936279296875,145765000
-33.200210571289063,145765625
-33.0513801574707,145766250
-33.173221588134766,145766875
-33.283466339111328,145767500
-33.967338562011719,145768125
-34.3836669921875,145768750
-33.915561676025391,145769375
-32.671287536621094,145770000
-33.012115478515625,145770625
-32.8347053527832,145771250
-32.264030456542969,145771875
-32.253345489501953,145772500
-33.219184875488281,145773125
-31.156230926513672,145773750
-31.049781799316406,145774375
-31.662097930908203,145775000
-32.287670135498047,145775625
-33.977886199951172,145776250
-31.544830322265625,145776875
-31.231159210205078,145777500
-31.791084289550781,145778125
-32.059478759765625,145778750
-31.468826293945312,145779375
-32.322853088378906,145780000
-32.227252960205078,145780625
-31.562286376953125,145781250
-31.489711761474609,145781875
-31.80517578125,145782500
-29.514259338378906,145783125
-29.985050201416016,145783750
-32.969673156738281,145784375
